prompt,visibility,aspect_ratio,magic_prompt
"realistic fashion e-commerce photography, kids shoulder bag in black color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids wallet in black color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids cargo shorts in beige color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids denim jeans in beige color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids high-waisted pants in black color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids knit pants in beige color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids athletic clothes in beige color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids cargo shorts in beige color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids classic polo shirt in black color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids denim jeans in black color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids sneakers in black color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids trench coat in beige color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids wool coat in black color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids closed-toe shoes in beige color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids low-top shoes in black color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids sneakers in black color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids casual shirt in black color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids classic polo shirt in beige color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids cotton shirt in beige color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids formal shirt in black color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
"realistic fashion e-commerce photography, kids oversized shirt in black color, professional product photography, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, 5000K lighting temperature",private,4:5,off
