slug,imageNumber,shotType,prompt,outputPath
"women-ribbed-tank-top-1","1","MODEL HERO","high fashion editorial photography, women's ribbed tank top in black color, professional fashion model wearing the garment, studio lighting with dramatic shadows, minimalist neutral background, clean composition, luxury fashion aesthetic, editorial style, Vogue magazine style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-ribbed-tank-top-1/1.jpg"
"women-ribbed-tank-top-1","2","PACKSHOT NO MODEL","professional product photography, ribbed tank top in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, clean white background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-ribbed-tank-top-1/2.jpg"
"women-ribbed-tank-top-1","3","MODEL LIFESTYLE","lifestyle fashion photography, women's ribbed tank top in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, editorial lifestyle aesthetic, high fashion, street style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-ribbed-tank-top-1/3.jpg"
"women-ribbed-tank-top-1","4","DETAIL MACRO","macro photography, extreme close-up detail shot of ribbed tank top in black color, fabric texture detail, material weave, 95% Cotton, professional product detail photography, studio lighting, sharp focus, luxury fashion detail, textile close-up, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-ribbed-tank-top-1/4.jpg"
"women-oversized-blazer-2","1","MODEL HERO","high fashion editorial photography, women's oversized blazer in black color, professional fashion model wearing the garment, studio lighting with dramatic shadows, minimalist neutral background, clean composition, luxury fashion aesthetic, editorial style, Vogue magazine style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-oversized-blazer-2/1.jpg"
"women-oversized-blazer-2","2","PACKSHOT NO MODEL","professional product photography, oversized blazer in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, clean white background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-oversized-blazer-2/2.jpg"
"women-oversized-blazer-2","3","MODEL LIFESTYLE","lifestyle fashion photography, women's oversized blazer in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, editorial lifestyle aesthetic, high fashion, street style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-oversized-blazer-2/3.jpg"
"women-oversized-blazer-2","4","DETAIL MACRO","macro photography, extreme close-up detail shot of oversized blazer in black color, fabric texture detail, material weave, 70% Wool, professional product detail photography, studio lighting, sharp focus, luxury fashion detail, textile close-up, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-oversized-blazer-2/4.jpg"
"women-wide-leg-trousers-3","1","MODEL HERO","high fashion editorial photography, women's wide leg trousers in black color, professional fashion model wearing the garment, studio lighting with dramatic shadows, minimalist neutral background, clean composition, luxury fashion aesthetic, editorial style, Vogue magazine style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-wide-leg-trousers-3/1.jpg"
"women-wide-leg-trousers-3","2","PACKSHOT NO MODEL","professional product photography, wide leg trousers in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, clean white background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-wide-leg-trousers-3/2.jpg"
"women-wide-leg-trousers-3","3","MODEL LIFESTYLE","lifestyle fashion photography, women's wide leg trousers in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, editorial lifestyle aesthetic, high fashion, street style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-wide-leg-trousers-3/3.jpg"
"women-wide-leg-trousers-3","4","DETAIL MACRO","macro photography, extreme close-up detail shot of wide leg trousers in black color, fabric texture detail, material weave, 65% Polyester, professional product detail photography, studio lighting, sharp focus, luxury fashion detail, textile close-up, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-wide-leg-trousers-3/4.jpg"
