slug,imageNumber,shotType,prompt,outputPath
"women-midi-skirt-51","1","MODEL HERO","realistic fashion e-commerce photography, women's midi skirt in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-midi-skirt-51/1.jpg"
"women-midi-skirt-51","2","PACKSHOT NO MODEL","professional product photography, midi skirt in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-midi-skirt-51/2.jpg"
"women-midi-skirt-51","3","MODEL LIFESTYLE","lifestyle fashion photography, women's midi skirt in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-midi-skirt-51/3.jpg"
"women-midi-skirt-51","4","DETAIL MACRO","macro photography, extreme close-up detail shot of midi skirt in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-midi-skirt-51/4.jpg"
"women-flared-skirt-52","1","MODEL HERO","realistic fashion e-commerce photography, women's flared skirt in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-flared-skirt-52/1.jpg"
"women-flared-skirt-52","2","PACKSHOT NO MODEL","professional product photography, flared skirt in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-flared-skirt-52/2.jpg"
"women-flared-skirt-52","3","MODEL LIFESTYLE","lifestyle fashion photography, women's flared skirt in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-flared-skirt-52/3.jpg"
"women-flared-skirt-52","4","DETAIL MACRO","macro photography, extreme close-up detail shot of flared skirt in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-flared-skirt-52/4.jpg"
"women-long-wide-leg-jeans-53","1","MODEL HERO","realistic fashion e-commerce photography, women's long wide leg jeans in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-long-wide-leg-jeans-53/1.jpg"
"women-long-wide-leg-jeans-53","2","PACKSHOT NO MODEL","professional product photography, long wide leg jeans in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-long-wide-leg-jeans-53/2.jpg"
"women-long-wide-leg-jeans-53","3","MODEL LIFESTYLE","lifestyle fashion photography, women's long wide leg jeans in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-long-wide-leg-jeans-53/3.jpg"
"women-long-wide-leg-jeans-53","4","DETAIL MACRO","macro photography, extreme close-up detail shot of long wide leg jeans in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-long-wide-leg-jeans-53/4.jpg"
"women-pea-coat-54","1","MODEL HERO","realistic fashion e-commerce photography, women's pea coat in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-pea-coat-54/1.jpg"
"women-pea-coat-54","2","PACKSHOT NO MODEL","professional product photography, pea coat in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-pea-coat-54/2.jpg"
